component,n_images,mean_ms,standard_deviation_ms,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms,throughput_per_second_from_median,notes
Voronoi analysis,15,13297.121380000075,5056.937341598454,14624.23040000067,10092.313999999533,16843.569849999767,2689.5781999992323,21230.840800002625,0.06837966666608003,Complete applicable images only; image-level medians.
Original ColorWheel analysis,7,58815.91115714244,37908.711401925255,36918.79870000048,27529.45594999801,98292.73960000137,22603.355199997168,100544.83310000069,0.027086471803319728,Complete applicable images only; excludes worker startup and timed-out/failed images.
Downstream total among routed images,20,30569.177980000317,30446.783250127057,17652.634600000965,14351.66400000071,30479.643775000113,8501.175299999886,100544.83310000069,0.05664876788419703,Complete routed images only.
Downstream total across included Experiment 3B images,27,22643.835540740976,29390.310849042846,14843.896500002302,4250.587649999943,23296.04984999969,0.0,100544.83310000069,0.06736775616832447,No-downstream irregular cases contribute 0 ms.
