relative_path,class_label,image_sha256,repeats,device,predicted_class,confidence_median,cnn_total_median_ms,cnn_total_mean_ms,cnn_total_sd_ms,cnn_total_min_ms,cnn_total_max_ms,unet_preprocess_median_ms,unet_preprocess_mean_ms,unet_preprocess_sd_ms,unet_preprocess_min_ms,unet_preprocess_max_ms,unet_inference_median_ms,unet_inference_mean_ms,unet_inference_sd_ms,unet_inference_min_ms,unet_inference_max_ms,unet_save_median_ms,unet_save_mean_ms,unet_save_sd_ms,unet_save_min_ms,unet_save_max_ms,unet_total_median_ms,unet_total_mean_ms,unet_total_sd_ms,unet_total_min_ms,unet_total_max_ms,pipeline_total_median_ms,pipeline_total_mean_ms,pipeline_total_sd_ms,pipeline_total_min_ms,pipeline_total_max_ms,pipeline_throughput_images_per_second
dots/dot_01.png,dots,b98bb0387e4fe04de24e87cc56ac6b64b457afcfad0a77be308a549fa016f8dc,5,cpu,dots,0.9996912479400635,72.56520000009914,74.3358800005808,4.083291798192628,71.77690000025905,81.44400000128371,22.522299999764073,23.038819999419502,1.7115677076294786,21.536599999308237,25.985899999795947,198.3808000004501,200.93317999999272,10.028629115747119,191.21760000052745,217.91449999909673,36.86150000066846,46.015840000109165,20.938268192403886,35.01480000159063,83.37389999906009,259.00669999828096,269.9878399995214,18.934295532798632,256.1680000017077,300.5773999993835,330.8556000010867,344.3918799999665,22.445825321734308,330.3077000000485,382.15669999954116,3.02246659871169
dots/dots_02.png,dots,c6ce69504c9a3cf44d1fa7d023bbfbb7744bb5768718bd13dc963b63f8e139bb,5,cpu,dots,0.781582236289978,78.85070000156702,79.70340000028955,2.1824618024542843,77.68389999910141,82.31490000071062,29.24410000014177,29.318459999922197,1.6490273894061227,27.472399999169284,31.493600001340383,197.8220999990299,198.81121999969764,3.375613287662227,195.29289999991306,204.2676000000938,33.802600000854,33.677800000077696,0.8799427677421068,32.1858000006614,34.33969999969122,259.09709999905317,261.80747999969753,5.137348713842033,257.551799999419,270.1009000011254,339.369400000578,341.56975999976567,5.544677257262655,336.8267999994714,349.0089999995689,2.946641624136698
dots/dots_03.png,dots,d63b348ee97b04459318f018e406d6748832d0d13293317abd394ee3c4817688,5,cpu,dots,0.9978141784667969,87.8327000009449,96.02964000005159,25.230332328653798,81.2698999998247,140.82950000010896,32.61059999931604,32.645180000326945,2.3010604746757815,30.418199999985518,36.349100000734325,199.57369999974617,201.36015999960364,8.071775742971754,192.77060000058555,214.62909999900148,36.95720000177971,38.328180000098655,3.143380672938358,36.30469999916386,43.8386999994691,272.9177000001073,272.33352000002924,8.601930493747451,262.1318000019528,284.19690000009723,360.8129000003828,368.43582000037713,19.861561790897902,354.278400000112,403.0201000005036,2.7715195326966944
dots/dots_04.png,dots,600209129b6a7d1752869662e249c3180a774d19f11ba5159c83462be354ae3e,5,cpu,dots,0.9998832941055298,67.13430000127119,75.28434000050765,19.447879756395196,64.3623000014486,109.96850000083214,15.908800000033807,16.15408000034222,0.9085806381420566,15.512100000705686,17.743599999448634,198.090100000627,197.5860800001101,3.981644876915555,191.36369999978342,202.4117999990267,32.55890000036743,32.7698800003418,0.45011535376931433,32.37050000097952,33.36929999932181,247.18810000194935,246.5100400007941,4.356192412060555,239.83140000018466,251.41579999944952,315.785999999207,321.8713800000842,22.525310324136978,306.2981999992189,361.48529999991297,3.1667015003911234
dots/dots_05.png,dots,0f3a2068e5ed6234849c23a3c0cddff64eb3af18fa6894eff81e87b5838675fe,5,cpu,dots,0.699499249458313,78.15539999864995,84.48491999988619,16.568620693912827,70.15660000070056,110.1022999991983,21.588100000371924,22.606559999258025,2.665548430068087,20.278799998777686,26.371599999038153,195.854399999007,202.46957999952429,15.926041976252622,194.18640000003506,230.8945999993739,33.57450000112294,33.75291999982437,1.3872371914497186,32.36819999983709,35.908799998651375,251.28709999808052,258.8290599986067,18.281265502084718,248.19569999999658,291.16289999728906,346.6716999992059,343.38260000040464,23.12107081978597,318.43640000079176,369.38779999945837,2.884573502833634
dots/dots_06.png,dots,32ec6c712cb72576ef26fe249f19d7f696e0754f78c4a6b6b587082577d563d2,5,cpu,dots,0.9997362494468689,69.32979999874078,78.00155999866547,20.94077344480398,67.64369999837072,115.43729999903007,19.01969999926223,19.32721999983187,0.7917578271620755,18.80130000063218,20.71059999980207,198.63230000009935,200.02087999964715,7.605173535932027,192.95830000010028,212.92019999964396,33.571199999641976,33.539879999807454,0.5984312130497592,32.79320000001462,34.25009999955364,251.44619999991846,252.88797999928647,7.949870760258334,244.93419999998878,266.1899999984598,319.6852000000945,330.94859999946493,28.458808270531666,314.32349999886355,381.69269999889366,3.128077245989819
dots/dots_07.png,dots,04bdae8ae6131228a33bc8d0c97a2aa015b6dd567e11ff34050148fb83167b8e,5,cpu,dots,0.7031892538070679,74.06100000116567,83.15006000011635,19.822388633768043,72.98459999947227,118.5248000001593,22.983900000326685,23.25410000012198,1.7755715643442769,21.2547999999515,25.879400000121677,195.81540000035602,196.9005400002061,4.636919692190624,192.5654000006034,204.6061999990343,37.243999999191146,37.0578399993974,0.8425779443605302,36.11369999998715,38.26829999889014,256.3289000008808,257.2124799997255,5.056762555248331,250.235800000155,264.0397999984998,336.0611999996763,340.42584000017087,16.344588498965457,329.37719999972614,368.8385000004928,2.975648483076782
dots/dots_08.png,dots,686ecc072c1363094b3045177613e282cbeec0e0a950ffd8feed8daacc836883,5,cpu,dots,0.9980535507202148,76.20390000010957,87.76136000014958,25.168939274400564,74.80389999909676,132.70310000007157,27.340999999069027,27.582339999935357,1.235871145633528,25.81819999977597,29.003800000282354,197.07880000169098,196.90320000045176,8.358554802309758,184.74910000077216,208.3717000004981,36.501200000202516,36.854000000312226,0.576782199379601,36.37510000044131,37.69860000102199,262.3593999996956,261.33954000069934,8.807657913258048,248.49650000032852,273.23270000124467,341.39110000069195,349.16358000009495,27.325499617092905,324.68189999963215,395.26759999898786,2.92919176861369
dots/dots_09.png,dots,36372990e82fa4a147cbea76e2d6c640ec3e03721ae6f03d0e8cbc9473a30042,5,cpu,dots,0.9993627667427063,73.15490000110003,80.76856000043335,19.774850533809758,70.22320000032778,116.01260000134062,23.064099999828613,23.027880000154255,0.4390010843014073,22.33390000037616,23.479900000893394,197.22319999891624,192.6352800001041,13.473430047017889,175.09330000029877,208.1517000005988,35.316199999215314,35.26378000024124,0.8331294864090517,34.00740000142832,36.266600000089966,255.49339999815857,250.9269400004996,12.972111676695755,234.05610000008892,264.4930000024033,334.005700000489,331.76080000048387,14.507096581317544,311.03560000155994,350.13880000042263,2.993960881501531
dots/dots_10.png,dots,b9e9c498232a03edfa0d90e41d543079b5845d08e18aec08103adf9454363c23,5,cpu,dots,0.9971987009048462,69.9043000004167,78.11596000065038,17.189756272131245,66.50339999941934,108.0842000010307,18.745600000329432,19.043300000339514,1.268213272297198,17.533100000946433,20.663499999500345,200.68569999966712,207.91643999982625,13.488973425799792,197.76959999944665,229.48299999916344,33.96040000006906,34.26546000009694,0.6848479518277412,33.78090000114753,35.43059999901743,252.7384000004531,261.2252000002627,14.659442265737109,249.84460000086983,284.4692999988183,333.59159999963595,339.4068800000241,20.25030341256059,319.79560000036145,361.46000000007916,2.9976773995540995
