run,device_requested,resolved_device,dependency_import_ms,analysis_module_import_ms,cnn_model_load_ms,unet_model_load_ms,cold_model_ready_ms,first_cnn_ms,first_unet_preprocess_ms,first_unet_inference_ms,first_unet_save_ms,first_unet_total_ms,first_pipeline_ms,predicted_class,confidence,fresh_process_wall_ms,status,error_type,error_message
1,auto,cpu,2522.020700000212,1762.6682999998593,498.4136999992188,165.7417999995232,5079.151800000545,99.35620000032941,23.867000001700944,237.5091000012617,39.721600000120816,301.09770000308345,400.5156999992323,dots,0.9996912479400635,6663.720299999113,ok,,
2,auto,cpu,2345.333000001119,1890.3213000012329,477.3685000000114,161.84360000079323,4981.274100000519,97.10540000014589,23.964100000739563,276.2397000005876,40.733100000579725,340.9369000019069,438.10599999960687,dots,0.9996912479400635,6530.133899999782,ok,,
3,auto,cpu,2322.8889999991225,1795.2702000002319,494.5793999995658,177.13700000058452,4902.920500000619,128.8356000004569,27.158000000781612,324.66980000026524,41.560300000128336,393.3881000011752,522.3210000003746,dots,0.9996912479400635,6581.621199999063,ok,,
4,auto,cpu,2347.6839999984804,1832.4841000012384,465.4764000006253,159.7552999992331,4914.216099999976,101.88910000033502,24.486399999659625,253.66509999912523,15.25700000092911,293.40849999971397,395.375399999466,dots,0.9996912479400635,6477.387799999633,ok,,
5,auto,cpu,2342.6001999996515,1761.2066000001505,460.33580000039365,150.90430000054766,4825.493799999094,100.64319999946747,24.31120000073861,238.13349999909406,55.63830000028247,318.08300000011513,418.792399999802,dots,0.9996912479400635,6380.188799999814,ok,,
