relative_path,class_label,image_sha256,repeat,device,cnn_total_ms,unet_preprocess_ms,unet_inference_ms,unet_save_ms,unet_total_ms,pipeline_total_ms,predicted_class,confidence
dots/dot_01.png,dots,b98bb0387e4fe04de24e87cc56ac6b64b457afcfad0a77be308a549fa016f8dc,1,cpu,81.44400000128371,25.985899999795947,191.21760000052745,83.37389999906009,300.5773999993835,382.15669999954116,dots,0.9996912479400635
dots/dot_01.png,dots,b98bb0387e4fe04de24e87cc56ac6b64b457afcfad0a77be308a549fa016f8dc,2,cpu,71.77690000025905,21.536599999308237,217.91449999909673,36.86150000066846,276.3125999990734,348.15229999912845,dots,0.9996912479400635
dots/dot_01.png,dots,b98bb0387e4fe04de24e87cc56ac6b64b457afcfad0a77be308a549fa016f8dc,3,cpu,71.8012000015733,22.376899998562294,197.5984000000608,39.03139999965788,259.00669999828096,330.8556000010867,dots,0.9996912479400635
dots/dot_01.png,dots,b98bb0387e4fe04de24e87cc56ac6b64b457afcfad0a77be308a549fa016f8dc,4,cpu,72.56520000009914,22.522299999764073,199.5545999998285,35.797599999568774,257.87449999916134,330.48710000002757,dots,0.9996912479400635
dots/dot_01.png,dots,b98bb0387e4fe04de24e87cc56ac6b64b457afcfad0a77be308a549fa016f8dc,5,cpu,74.0920999996888,22.77239999966696,198.3808000004501,35.01480000159063,256.1680000017077,330.3077000000485,dots,0.9996912479400635
dots/dots_02.png,dots,c6ce69504c9a3cf44d1fa7d023bbfbb7744bb5768718bd13dc963b63f8e139bb,1,cpu,81.75639999899431,28.029199998854892,197.33679999990272,32.1858000006614,257.551799999419,339.369400000578,dots,0.781582236289978
dots/dots_02.png,dots,c6ce69504c9a3cf44d1fa7d023bbfbb7744bb5768718bd13dc963b63f8e139bb,2,cpu,82.31490000071062,30.353000000104657,199.33669999954873,33.73999999894295,263.42969999859633,345.80349999851023,dots,0.781582236289978
dots/dots_02.png,dots,c6ce69504c9a3cf44d1fa7d023bbfbb7744bb5768718bd13dc963b63f8e139bb,3,cpu,78.85070000156702,31.493600001340383,204.2676000000938,34.33969999969122,270.1009000011254,349.0089999995689,dots,0.781582236289978
dots/dots_02.png,dots,c6ce69504c9a3cf44d1fa7d023bbfbb7744bb5768718bd13dc963b63f8e139bb,4,cpu,77.91110000107437,29.24410000014177,195.29289999991306,34.32090000023891,258.85790000029374,336.8267999994714,dots,0.781582236289978
dots/dots_02.png,dots,c6ce69504c9a3cf44d1fa7d023bbfbb7744bb5768718bd13dc963b63f8e139bb,5,cpu,77.68389999910141,27.472399999169284,197.8220999990299,33.802600000854,259.09709999905317,336.84010000069975,dots,0.781582236289978
dots/dots_03.png,dots,d63b348ee97b04459318f018e406d6748832d0d13293317abd394ee3c4817688,1,cpu,140.82950000010896,32.778300001155,192.77060000058555,36.58290000021225,262.1318000019528,403.0201000005036,dots,0.9978141784667969
dots/dots_03.png,dots,d63b348ee97b04459318f018e406d6748832d0d13293317abd394ee3c4817688,2,cpu,82.31079999859503,32.61059999931604,214.62909999900148,36.95720000177971,284.19690000009723,366.58040000111214,dots,0.9978141784667969
dots/dots_03.png,dots,d63b348ee97b04459318f018e406d6748832d0d13293317abd394ee3c4817688,3,cpu,87.90530000078434,30.418199999985518,199.57369999974617,36.30469999916386,266.29659999889554,354.278400000112,dots,0.9978141784667969
dots/dots_03.png,dots,d63b348ee97b04459318f018e406d6748832d0d13293317abd394ee3c4817688,4,cpu,81.2698999998247,31.069700000443845,201.2161999991804,43.8386999994691,276.12459999909333,357.48729999977513,dots,0.9978141784667969
dots/dots_03.png,dots,d63b348ee97b04459318f018e406d6748832d0d13293317abd394ee3c4817688,5,cpu,87.8327000009449,36.349100000734325,198.6111999995046,37.95739999986836,272.9177000001073,360.8129000003828,dots,0.9978141784667969
dots/dots_04.png,dots,600209129b6a7d1752869662e249c3180a774d19f11ba5159c83462be354ae3e,1,cpu,109.96850000083214,15.63470000110101,202.4117999990267,33.36929999932181,251.41579999944952,361.48529999991297,dots,0.9998832941055298
dots/dots_04.png,dots,600209129b6a7d1752869662e249c3180a774d19f11ba5159c83462be354ae3e,2,cpu,66.40439999864611,15.908800000033807,191.36369999978342,32.55890000036743,239.83140000018466,306.2981999992189,dots,0.9998832941055298
dots/dots_04.png,dots,600209129b6a7d1752869662e249c3180a774d19f11ba5159c83462be354ae3e,3,cpu,68.55220000034024,15.971200000421959,198.090100000627,33.1268000009004,247.18810000194935,315.785999999207,dots,0.9998832941055298
dots/dots_04.png,dots,600209129b6a7d1752869662e249c3180a774d19f11ba5159c83462be354ae3e,4,cpu,67.13430000127119,17.743599999448634,198.64720000077796,32.42390000013984,248.81470000036643,316.0196000008,dots,0.9998832941055298
dots/dots_04.png,dots,600209129b6a7d1752869662e249c3180a774d19f11ba5159c83462be354ae3e,5,cpu,64.3623000014486,15.512100000705686,197.41760000033537,32.37050000097952,245.30020000202057,309.767800001282,dots,0.9998832941055298
dots/dots_05.png,dots,0f3a2068e5ed6234849c23a3c0cddff64eb3af18fa6894eff81e87b5838675fe,1,cpu,110.1022999991983,20.278799998777686,196.87169999997423,34.13659999932861,251.28709999808052,361.4506000012625,dots,0.699499249458313
dots/dots_05.png,dots,0f3a2068e5ed6234849c23a3c0cddff64eb3af18fa6894eff81e87b5838675fe,2,cpu,72.40920000003825,21.588100000371924,194.54079999923124,32.36819999983709,248.49709999944025,320.96650000130467,dots,0.699499249458313
