class,support,precision,recall,f1_score,mean_confidence,class_accuracy
dots,14,1.0,1.0,1.0,0.8923694321087429,1.0
irregular,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.782729412828173,0.8571428571428571
lines,20,0.8571428571428571,0.9,0.8780487804878049,0.9662501245737076,0.9
mixed,11,0.9,0.8181818181818182,0.8571428571428571,0.7983281395652078,0.8181818181818182
