mean_confidence,empirical_accuracy,count
0.5491538643836975,0.5,4
0.654925525188446,0.7142857142857143,7
0.7510065038998922,1.0,3
0.8398619890213013,1.0,3
0.9864340100969587,0.9714285714285714,35
