replicate,dice,iou,pixel_precision,pixel_recall,specificity,pixel_accuracy
1,0.8554959790437603,0.7482506023181026,0.8593528723568551,0.8517772494038486,0.9597334001838511,0.9417057101977815
2,0.8528602787848537,0.7444862214588491,0.857009755867791,0.8488513484951489,0.9584926637317638,0.9368102443699544
3,0.8460502507232803,0.7381317441716817,0.8588900513218739,0.8397273441008722,0.9653908025236677,0.9391854688923896
4,0.8430165496735892,0.7333767101114365,0.8557733219806125,0.8367865227673252,0.9671408084737889,0.9402160436138537
5,0.8517959200720097,0.7425298975556031,0.8564376842836207,0.8473024078561099,0.9507473970313584,0.9345962269408757
6,0.8366549407019233,0.7278282440039028,0.8587944606577319,0.827425532413317,0.9580038604681875,0.9278824832249514
7,0.8397384969058471,0.7325242418389132,0.8612227636140369,0.8311755429509473,0.9648623326319289,0.9342738998419224
8,0.8406982503654085,0.7343399914708394,0.8627395278702602,0.8315824814620602,0.9669378758100433,0.9354364063016557
9,0.8558892825260718,0.7486298552553745,0.8594875375031981,0.852412107674073,0.9545198265206603,0.9360685236337386
10,0.8341785590119656,0.7242218940489812,0.8558287698270496,0.8254461493880967,0.9617474401087673,0.9308330268486185
11,0.8350926118188718,0.7259476645391995,0.8584003900058516,0.8247049195683479,0.9568267696767531,0.9238773637392387
12,0.834975008254515,0.7257378988561867,0.8571941604286405,0.8256738911736587,0.96194208258155,0.9276221637142177
13,0.8564052487156617,0.7496779702391376,0.8617220712026308,0.8512169950930746,0.960234538213632,0.93921032236599
14,0.8579215926173441,0.751934176770763,0.861058070928538,0.8549190684547122,0.9664943353071243,0.946006121041183
15,0.8545855032297126,0.7469075403978408,0.858559229398587,0.8507466566449683,0.9663297451336678,0.9461077023568323
16,0.8387212304893675,0.7310339528245972,0.8601428151013935,0.8302156383397835,0.9641662932759479,0.9331266604742214
17,0.8443811794217103,0.7353943005968655,0.8566597135012272,0.8386484044953784,0.9568511419737107,0.931813776729899
18,0.8385056432215491,0.7310932351559749,0.8611638659888854,0.8287575988262955,0.958204514305367,0.9263782733891895
19,0.8573391108267187,0.7511592873692221,0.8607041278021426,0.854101791476168,0.9578548780837494,0.9370617987147586
20,0.8543904792919118,0.7464968088940442,0.8595169836216529,0.8493855103325947,0.9577937404751105,0.9373395373282217
21,0.852652920507634,0.7441628432770082,0.8576874269744814,0.8477617003770089,0.9536603674481213,0.9336498432616475
22,0.8532993742775103,0.7450082759197794,0.8580015761968045,0.8487251327541874,0.9553841037852954,0.9352869990931814
23,0.8390370663421055,0.7315837315952597,0.8610234530907361,0.8299458194064313,0.9576043169711629,0.9278856189893661
24,0.8355568141193629,0.7263841755683754,0.8577163349500632,0.8263336883836161,0.9622367587581655,0.9301708239568575
25,0.851531119104297,0.7420509085312866,0.8541280607085439,0.8490816160058899,0.9534827074002082,0.9353985394712144
26,0.8556150789562055,0.7481618979750513,0.8582176457644184,0.8531464789019501,0.9620089960266958,0.9437548531055129
27,0.8370099164665974,0.7246759469727557,0.8500851161027364,0.8305128562277,0.9602563251259363,0.9323061428534971
28,0.8519237660750442,0.7427951634739257,0.8566626345249841,0.8473079210800434,0.959601436481268,0.9378859903397487
29,0.8381201714886884,0.7306627706730986,0.8589074789871141,0.8302563489235412,0.9590013265361654,0.9274802279832154
30,0.8450783286152688,0.7364218654589547,0.8570943560054222,0.8396059727447367,0.9579581451763898,0.9331807187059293
31,0.8231770167327128,0.7118915870809,0.8540915613898626,0.8115853330689738,0.9561512269291008,0.9175381015392342
32,0.8451798822957443,0.7367805121319843,0.8571320277389092,0.8397946247383117,0.9602057694224477,0.9368847117884042
33,0.8458323728938834,0.7376827074599234,0.8590921280375884,0.8391079004362794,0.963132889014192,0.9364726746917147
34,0.8462237766141627,0.7383849680305992,0.8586480915597441,0.8403573286426984,0.9666884169029386,0.9403831996266113
35,0.8414634588706155,0.7308048114821771,0.8544687287650696,0.8350063037606826,0.9550601410100091,0.9311989999376701
36,0.8560626325738794,0.7491204860373063,0.8585769848855566,0.853713758693289,0.9592949068605519,0.9395955954562453
37,0.8509954334496179,0.7457003124752116,0.8648135896188074,0.8436867818950213,0.9581672882293454,0.9348468668452697
38,0.8541635119163428,0.7461606688504868,0.8581452526239004,0.8503170765022076,0.9520496271366587,0.933726331224159
39,0.8270993145311641,0.7178688104404416,0.8572268151000046,0.8162759850431737,0.9574107308349565,0.9194201986057478
40,0.8446766225715686,0.7358665643333485,0.8592354478778723,0.8366185340121387,0.95840095434285,0.933542688536444
41,0.828813190953162,0.7205027022737219,0.8587907279906148,0.8181343911155382,0.97022046908025,0.9327417538074461
42,0.8559094689509407,0.748615884126766,0.859440770914622,0.8525145229662989,0.9616735401800213,0.9419711129656588
43,0.8459031367883347,0.7376878284419529,0.8580776685702047,0.8402660925881642,0.9542053321591822,0.9313788987127962
44,0.8514325376946865,0.7426650343588933,0.8550999073295706,0.8479153794518468,0.9569262258699425,0.9368942884162634
45,0.8271846628888778,0.7177654825447912,0.8570061337107336,0.8166849697269511,0.963484923506333,0.9235758694569027
46,0.8544784106389947,0.7468334295639738,0.8589489537932457,0.850140663313376,0.9501567695911547,0.9312433100101966
47,0.8388296888503437,0.7269648435198245,0.8502319448495856,0.8339986244360511,0.960750788012811,0.9356540218848823
48,0.8465265522680413,0.7386886773085919,0.8579485864037946,0.8416272392624125,0.9627165367454984,0.9372576252508008
49,0.8417205191801096,0.7312923002470985,0.8551769020290849,0.8348074927427642,0.9551535991606808,0.9307809235003098
50,0.8404704654135624,0.7339807432967719,0.8619277192762986,0.831899099728183,0.9656872203813129,0.9334639275914702
51,0.846725013585694,0.7393159820382622,0.8603208648610026,0.8396464109213626,0.9582846411067197,0.9338889852277314
52,0.8428155550710613,0.7331597202906848,0.8555861512786985,0.8365779520765614,0.9541633321436498,0.9293662297415102
53,0.815433332880029,0.7041512033717271,0.855042054807318,0.8015264865679061,0.9600359386491593,0.916307402601118
54,0.8534520798664932,0.7450225358151379,0.8564047899379723,0.850624574900388,0.9572250329336371,0.9374154990712641
55,0.8452749202126243,0.736933725591628,0.8576434779989768,0.8394249338822735,0.9654179460162233,0.9382111108927179
56,0.8577833673651556,0.7516859769953528,0.8618359892277648,0.853874304361012,0.961309740215082,0.9443590069713974
57,0.8397363930077612,0.7287872444680247,0.8519843385614385,0.8340344103057172,0.9589417075341136,0.9346028955255095
58,0.8418022423672717,0.7315524238089766,0.8558545857451453,0.8342646316998268,0.9611888177786284,0.9353549655297348
59,0.8437980886605706,0.7349524550516849,0.8584342192682805,0.8356775822742786,0.9589476906074169,0.9350035207866312
60,0.8400249935096578,0.7331613103999517,0.861751773218223,0.8312273976928496,0.9615454167068151,0.9283627541541543
61,0.8609047087137508,0.7562050608559933,0.8661541991792784,0.855785517715537,0.965596978840894,0.9467650353477094
62,0.8450810104393713,0.7367439485299623,0.8585945037830186,0.8380909536326268,0.956188628037609,0.9311517266831462
63,0.8598104915072783,0.754636688899002,0.8628033460007477,0.8569424008451092,0.9638944843278275,0.9451917694313063
64,0.8553979864602244,0.7482669910407845,0.8582273628717025,0.8526709652058563,0.9514826778967564,0.9346300593220718
65,0.8546108495227384,0.7466956608865755,0.8580066004574707,0.8513353882918596,0.9535236132386896,0.9344694279132056
66,0.8442300872687014,0.735713430048031,0.856996476890759,0.837983646946324,0.9633232302178152,0.9354418149811853
67,0.8445862056224034,0.7359297614775844,0.8580351007526502,0.8376584243045453,0.9500977757937111,0.9272115615195389
68,0.8437088885440807,0.7345578153191314,0.8550367436190869,0.8389353665111574,0.962903218490721,0.935676096169466
69,0.8457562295274683,0.7378322372658266,0.8573059660007469,0.8407385273584695,0.9620993884503604,0.9356109826630512
70,0.8544967816513208,0.7468004841377592,0.8580522149124151,0.8510835859476564,0.9583917884349027,0.9383337228453387
71,0.8540585168566378,0.7458576288412553,0.8584569873651123,0.8498226117831179,0.9586060366536059,0.9402785102624089
72,0.8366746934986871,0.7278219689527416,0.8598913429040109,0.8263651415383009,0.9571931467525129,0.9253810639005206
73,0.8399079288837318,0.728647935765713,0.8526669553796415,0.8336957528983459,0.9559122596257394,0.9300183826873399
74,0.8455169892138232,0.7372269022045259,0.8585738219643703,0.8389977019650706,0.9640400450313522,0.9394684727442472
75,0.8468785801399491,0.7352990336814882,0.8501664041455375,0.8437328334977424,0.9550663438670984,0.9354800597564886
76,0.8584923314984034,0.7524784972582285,0.8622945794429023,0.8548328817678166,0.9589291771655131,0.9409738683599135
77,0.8306007883663259,0.7190900337783174,0.8532463529636576,0.8208800339672571,0.9626189863824662,0.9290106874806813
78,0.853100174109656,0.7487261877300679,0.8655333836153619,0.8471659764452087,0.9557466692570478,0.9321550537397139
79,0.8476725604871773,0.736326985540759,0.850415686810415,0.8450876324078631,0.9576790699930807,0.938937314921649
80,0.8543521631194845,0.7464688601088072,0.858683726463756,0.8501644791548557,0.9531151693682621,0.9349949617369616
81,0.8442983263141904,0.7353134636238923,0.8573837210048078,0.8377389950116928,0.9571860636115598,0.9328630432619238
82,0.8337704763394791,0.7235234723418367,0.8558243457731582,0.8246514370128615,0.9639833554409502,0.929890031912325
83,0.8365194497380908,0.7277786844146749,0.8576879041661928,0.8282815194026873,0.9621206879106375,0.9306588454270116
84,0.8531490533693191,0.7446642204751557,0.8576594645588977,0.848767413485168,0.9516799856310783,0.9334717286939288
85,0.8353104759675513,0.7262099457492807,0.8548054497167715,0.8287487849072036,0.96080098268337,0.9289910066706956
86,0.8566226787410924,0.7499324848540064,0.8605537526686716,0.8528298815278622,0.9654472748322042,0.9450735018370732
87,0.856108939241687,0.7490710800800531,0.8601519429899427,0.8522048359197346,0.9617529611850864,0.9410369484628118
88,0.8537089782734231,0.745610691972803,0.8566785398867155,0.850903736325508,0.9632350381134742,0.9426996626983087
89,0.8454845763571496,0.7370968869418983,0.8584641858259536,0.8390383828232175,0.9625032098756704,0.937016717552125
90,0.8544836474382332,0.7469489224825139,0.8594644554850192,0.8496019417390396,0.9580516198945108,0.9389440464143286
91,0.8580325252962362,0.7519422623761318,0.8619752705429593,0.8542396384798938,0.9554651239288532,0.9357772120606137
92,0.837224187208406,0.7250225507143818,0.8511794194101054,0.829794503400456,0.9586497110696542,0.932645528479934
93,0.8475791744343343,0.7404297914978848,0.861068744192948,0.840618536228027,0.9594127147256518,0.9325198975254925
94,0.8447841455694146,0.736401591036033,0.8587194140687163,0.8373596912382396,0.962768986372938,0.9358446019024228
95,0.8426139187905853,0.7327516260608085,0.8538350368555219,0.8379404396713924,0.966584445576909,0.9406654336978137
96,0.8352673089970221,0.7258703571496861,0.8585363700353963,0.8249242099340521,0.9608929993410791,0.9282499832741302
97,0.8455424968717615,0.7374242785975983,0.8577251660553026,0.8398888058724177,0.9568799169725856,0.9304259858217976
98,0.8565621218507105,0.7498783733104705,0.8623860386685225,0.8508669396365838,0.9572265757986053,0.9376110423578591
99,0.8383778199958793,0.7305951855251963,0.8598888297441627,0.8297759430055571,0.9618023691608073,0.931432336738263
100,0.8171484065886498,0.7070398893451347,0.8576575954602305,0.8023192950589454,0.9609511873238589,0.9164489724712526
101,0.8420672000903283,0.7318402049531768,0.8547199786744994,0.835931085591589,0.9512867561265181,0.9273041304732259
102,0.8518168597023815,0.7469887597657278,0.8638860493651208,0.8462816956687663,0.9619530617601703,0.9376021833632058
103,0.8352731061170757,0.7258460218349483,0.8569593767900932,0.8265243041614013,0.9611043753419584,0.9301541185956685
104,0.858488130918752,0.752829465952629,0.8630832279040593,0.853998500523333,0.9600076391686406,0.9392968650864407
105,0.8452564498186607,0.7371201048627257,0.8588038556949499,0.8382344822126645,0.9549800638921827,0.9286733773987905
106,0.8366496035431996,0.7280307499640899,0.8583641713515209,0.8278382323012758,0.9596625040055118,0.9271555513950455
107,0.8455837503683215,0.7373981347002702,0.8581707963168169,0.8395204355165773,0.9594431364168869,0.9327670185772251
108,0.8342343353251002,0.7243497058226274,0.8556912345400032,0.8257055900651226,0.9681578652878264,0.9362940621415481
109,0.84845258774143,0.7374993107185045,0.8530120330048875,0.8440481904885311,0.9498128628573612,0.9329108656298106
110,0.8479105752265146,0.7406974022841324,0.8596747059902021,0.842688144480273,0.9584693183785151,0.9346624312464745
111,0.8422163816247635,0.7324255217642672,0.8550379749147764,0.8359478149339797,0.9638679298884298,0.9385565324599241
112,0.8250331146803734,0.7145393646285824,0.856670323361439,0.812731158442057,0.9595338224507871,0.9190993111335506
113,0.8459760864578435,0.7381494624473368,0.859521338288332,0.8389666905015717,0.9496120211532166,0.9244739641417625
114,0.8470593812094056,0.7397098137892452,0.8597185131750513,0.8409487968554504,0.9634839355713544,0.9385926045236114
115,0.8464928023892376,0.7385480578924966,0.857685733155627,0.8418557462025763,0.964862137102564,0.9398094781882547
116,0.8357883979784506,0.7271208420839187,0.8591194859297028,0.8253631166529394,0.9521474564763956,0.9208622179039005
117,0.8560507005495339,0.7487108728462473,0.8593040079836668,0.8529288133188772,0.9536403741411184,0.9389996249619808
118,0.8520025370416809,0.7471494762374777,0.8646198844982576,0.8459059442627387,0.9599743469005091,0.9362584378868707
119,0.8516009608733727,0.7424516595293074,0.8550325042953013,0.8483095839633704,0.9604556220500244,0.943291362720167
120,0.8545366928589231,0.7470383167084163,0.8594207883272742,0.8497805446225574,0.9610865012975112,0.9400649171095695
121,0.8523725315660594,0.7435472190845079,0.8552324064854788,0.8496617281037147,0.953144657089763,0.9355250521652521
122,0.860898359394485,0.756189512200914,0.8648550532290527,0.8570675238708865,0.9690473446614031,0.9500429289411269
123,0.8222565310768556,0.7106887381396045,0.8539439389875426,0.8098875869709995,0.9550599671723355,0.9164137155785201
124,0.8457777056368859,0.7376257805788913,0.8590249539876679,0.8390428227655587,0.962529440079805,0.9364657393202438
125,0.8575532432298438,0.7513723932161223,0.8602485562801657,0.8550068557444064,0.9702903982654381,0.9515266222435297
126,0.8512282081587247,0.7417005760932812,0.8548028756165812,0.8477800694795776,0.9642913081418678,0.9426034133953329
127,0.8391244182140264,0.7318580971055276,0.8621592905480226,0.8289945816095698,0.96441460240217,0.9317188507276805
128,0.8559575937036442,0.7488872321959196,0.8601258261475809,0.8519247557475513,0.9612101604184943,0.9400055074356437
129,0.8525384327901088,0.743789614646161,0.8558999514995291,0.84932175952764,0.9621615918786586,0.9396955518492711
