metric,n_images,observed_mean,standard_deviation,median,confidence_level,bootstrap_iterations,bootstrap_seed,bootstrap_method,ci_lower,ci_upper
dice,50,0.8452362343329836,0.07175158141073475,0.858232106076031,0.95,10000,20260622,image_level_stratified_percentile,0.8244942899860275,0.8592572176572696
iou,50,0.7368714441727083,0.0813102365238704,0.7516702532848935,0.95,10000,20260622,image_level_stratified_percentile,0.7138510590747531,0.7539154370199971
pixel_precision,50,0.8580508741023444,0.026130651825423568,0.8610270167626236,0.95,10000,20260622,image_level_stratified_percentile,0.8518983949824396,0.8641775976470449
pixel_recall,50,0.8389518993897335,0.08916869430267685,0.8544969380225835,0.95,10000,20260622,image_level_stratified_percentile,0.8130215125998297,0.8557186227621169
specificity,50,0.9594111669220895,0.036172785826626586,0.9675804194705502,0.95,10000,20260622,image_level_stratified_percentile,0.9489677235644342,0.9679622070503081
pixel_accuracy,50,0.9339959494992912,0.05618881053161725,0.9449251859597203,0.95,10000,20260622,image_level_stratified_percentile,0.9186072831466362,0.9468113303115123
