class,support,precision,recall,f1_score,mean_confidence,class_accuracy
dots,13,1.0,1.0,1.0,0.8853642115226159,1.0
irregular,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.782729412828173,0.8571428571428571
lines,20,0.8571428571428571,0.9,0.8780487804878049,0.9662501245737076,0.9
mixed,10,0.8888888888888888,0.8,0.8421052631578947,0.7819152057170868,0.8
