relative_path,true_label,predicted_label,confidence,second_best_label,second_best_probability,confidence_margin,low_confidence_routing,routing,repeat,voronoi_ms,voronoi_status,colorwheel_ms,colorwheel_worker_wall_ms,colorwheel_status,downstream_total_ms,overall_status
dots/dot_01.png,dots,dots,0.9996912479400635,mixed,0.0002890542964451015,0.9994021936436184,False,voronoi,1,17100.574900003267,completed,,,not_applicable,17100.574900003267,completed
dots/dot_01.png,dots,dots,0.9996912479400635,mixed,0.0002890542964451015,0.9994021936436184,False,voronoi,2,16009.747399992193,completed,,,not_applicable,16009.747399992193,completed
dots/dot_01.png,dots,dots,0.9996912479400635,mixed,0.0002890542964451015,0.9994021936436184,False,voronoi,3,16344.540799997048,completed,,,not_applicable,16344.540799997048,completed
dots/dots_02.png,dots,dots,0.781582236289978,mixed,0.21557390689849854,0.5660083293914795,False,voronoi,1,23286.92040000169,completed,,,not_applicable,23286.92040000169,completed
dots/dots_02.png,dots,dots,0.781582236289978,mixed,0.21557390689849854,0.5660083293914795,False,voronoi,2,23085.748700003023,completed,,,not_applicable,23085.748700003023,completed
dots/dots_02.png,dots,dots,0.781582236289978,mixed,0.21557390689849854,0.5660083293914795,False,voronoi,3,21157.08779999113,completed,,,not_applicable,21157.08779999113,completed
dots/dots_03.png,dots,dots,0.9978141784667969,mixed,0.0020043705590069294,0.99580980790779,False,voronoi,1,19643.827299994882,completed,,,not_applicable,19643.827299994882,completed
dots/dots_03.png,dots,dots,0.9978141784667969,mixed,0.0020043705590069294,0.99580980790779,False,voronoi,2,20342.8464000026,completed,,,not_applicable,20342.8464000026,completed
dots/dots_03.png,dots,dots,0.9978141784667969,mixed,0.0020043705590069294,0.99580980790779,False,voronoi,3,19435.449900003732,completed,,,not_applicable,19435.449900003732,completed
dots/dots_04.png,dots,dots,0.9998832941055298,mixed,0.00011656932474579662,0.999766724780784,False,voronoi,1,12480.74590000033,completed,,,not_applicable,12480.74590000033,completed
dots/dots_04.png,dots,dots,0.9998832941055298,mixed,0.00011656932474579662,0.999766724780784,False,voronoi,2,12494.096099995659,completed,,,not_applicable,12494.096099995659,completed
dots/dots_04.png,dots,dots,0.9998832941055298,mixed,0.00011656932474579662,0.999766724780784,False,voronoi,3,12524.024799990002,completed,,,not_applicable,12524.024799990002,completed
dots/dots_05.png,dots,dots,0.699499249458313,mixed,0.24485456943511963,0.45464468002319336,False,voronoi,1,17767.69449999847,completed,,,not_applicable,17767.69449999847,completed
dots/dots_05.png,dots,dots,0.699499249458313,mixed,0.24485456943511963,0.45464468002319336,False,voronoi,2,17305.539300010423,completed,,,not_applicable,17305.539300010423,completed
dots/dots_05.png,dots,dots,0.699499249458313,mixed,0.24485456943511963,0.45464468002319336,False,voronoi,3,17162.615799999912,completed,,,not_applicable,17162.615799999912,completed
dots/dots_06.png,dots,dots,0.9997362494468689,mixed,0.000263143825577572,0.9994731056212913,False,voronoi,1,14973.028799999156,completed,,,not_applicable,14973.028799999156,completed
dots/dots_06.png,dots,dots,0.9997362494468689,mixed,0.000263143825577572,0.9994731056212913,False,voronoi,2,14865.99049999495,completed,,,not_applicable,14865.99049999495,completed
dots/dots_06.png,dots,dots,0.9997362494468689,mixed,0.000263143825577572,0.9994731056212913,False,voronoi,3,14736.456899991026,completed,,,not_applicable,14736.456899991026,completed
dots/dots_07.png,dots,dots,0.7031892538070679,lines,0.2764197289943695,0.42676952481269836,False,voronoi,1,16085.792700003367,completed,,,not_applicable,16085.792700003367,completed
dots/dots_07.png,dots,dots,0.7031892538070679,lines,0.2764197289943695,0.42676952481269836,False,voronoi,2,16156.300700007705,completed,,,not_applicable,16156.300700007705,completed
dots/dots_07.png,dots,dots,0.7031892538070679,lines,0.2764197289943695,0.42676952481269836,False,voronoi,3,15862.308299998404,completed,,,not_applicable,15862.308299998404,completed
dots/dots_08.png,dots,dots,0.9980535507202148,mixed,0.001840423559769988,0.9962131271604449,False,voronoi,1,15831.892800008063,completed,,,not_applicable,15831.892800008063,completed
dots/dots_08.png,dots,dots,0.9980535507202148,mixed,0.001840423559769988,0.9962131271604449,False,voronoi,2,15843.45200000098,completed,,,not_applicable,15843.45200000098,completed
dots/dots_08.png,dots,dots,0.9980535507202148,mixed,0.001840423559769988,0.9962131271604449,False,voronoi,3,16017.806000003475,completed,,,not_applicable,16017.806000003475,completed
dots/dots_09.png,dots,dots,0.9993627667427063,mixed,0.0006165117374621332,0.9987462550052442,False,voronoi,1,17865.449400007492,completed,,,not_applicable,17865.449400007492,completed
dots/dots_09.png,dots,dots,0.9993627667427063,mixed,0.0006165117374621332,0.9987462550052442,False,voronoi,2,18989.859699999215,completed,,,not_applicable,18989.859699999215,completed
dots/dots_09.png,dots,dots,0.9993627667427063,mixed,0.0006165117374621332,0.9987462550052442,False,voronoi,3,19835.846500005573,completed,,,not_applicable,19835.846500005573,completed
dots/dots_10.png,dots,dots,0.9971987009048462,mixed,0.0025667198933660984,0.9946319810114801,False,voronoi,1,15607.489400004852,completed,,,not_applicable,15607.489400004852,completed
dots/dots_10.png,dots,dots,0.9971987009048462,mixed,0.0025667198933660984,0.9946319810114801,False,voronoi,2,15670.40810000617,completed,,,not_applicable,15670.40810000617,completed
dots/dots_10.png,dots,dots,0.9971987009048462,mixed,0.0025667198933660984,0.9946319810114801,False,voronoi,3,15567.865700009861,completed,,,not_applicable,15567.865700009861,completed
