component,n_images,mean_ms,standard_deviation_ms,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms,throughput_per_second_from_median,notes
Voronoi analysis,22,14593.4118863641,5860.010784977709,14792.390549999254,10364.97552500441,17065.28967500708,3078.720699995756,30418.335199996363,0.0676023254402278,Applicable predicted dot and mixed images.
ColorWheel analysis,30,4068.186070000714,2385.4226876431567,3518.131800010451,2660.0326000007044,4406.99030000178,1115.39079999784,9874.094699989655,0.2842417671779748,Applicable predicted line and mixed images; analysis time excludes worker-process startup.
ColorWheel worker wall time,30,5767.993036665818,2423.6866927568267,5241.0891500039725,4365.756949995557,6261.808374998509,2590.4690999886952,11496.771799997077,0.1908000362862063,Diagnostic user-visible latency including isolated worker startup.
Downstream total among routed images,43,10306.112439534762,8121.983390517765,7859.961799986195,3518.131800010451,15964.622350002173,1345.9548999962863,40126.952099992195,0.1272270814346396,Voronoi and/or ColorWheel as dictated by predicted class.
Downstream total across all images,50,8863.256697999896,8342.19400128155,7303.519050001341,2660.0326000007044,15422.114675002376,0.0,40126.952099992195,0.13692029734622468,Irregular routes contribute zero downstream time.
