relative_path,image_path,ground_truth_mask_path,predicted_mask_path,threshold,prediction_time_ms,ground_truth_foreground_fraction,predicted_foreground_fraction,dice,iou,pixel_precision,pixel_recall,specificity,pixel_accuracy,true_positive_pixels,true_negative_pixels,false_positive_pixels,false_negative_pixels
dots/dots_13.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\dots\dots_13.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\dots\dots_13_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\dots\dots_13.png,0.5,195.5192999994324,0.11097785727836952,0.10918909396427894,0.8619437434603311,0.757382368848026,0.869004033509153,0.8549972525795225,0.983911164630475,0.9696045748976881,28008,258196,4222,4750
dots/dots_14.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\dots\dots_14.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\dots\dots_14_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\dots\dots_14.png,0.5,195.02640000064275,0.260429822043628,0.2586933122847302,0.836989425668671,0.7196748199386722,0.8397986214165846,0.8341989612465042,0.943963363459514,0.9153774397244546,60552,194582,11551,12035
irregular/irregular_01.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\irregular\irregular_01.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\irregular\irregular_01_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\irregular\irregular_01.png,0.5,169.92349999782164,0.20003064881176916,0.19565729913240287,0.8593956365875215,0.7534563816820478,0.8690002811583725,0.8500009821831969,0.9679599585439292,0.9443645479693198,43271,197066,6523,7636
irregular/irregular_02.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\irregular\irregular_02.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\irregular\irregular_02_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\irregular\irregular_02.png,0.5,193.23639999856823,0.12762374966110643,0.12559752286639744,0.87693001239716,0.7808329152032111,0.8840036355373777,0.8699686940966009,0.9832998020838445,0.9688360611292647,7781,60116,1021,1163
irregular/irregular_03.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\irregular\irregular_03.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\irregular\irregular_03_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\irregular\irregular_03.png,0.5,196.89429999925778,0.14679201568347888,0.1457761539832472,0.858979044834308,0.7528161870695638,0.8619720031786783,0.8560067990044314,0.9764170156767313,0.9587417572625201,14101,93489,2258,2372
irregular/irregular_04.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\irregular\irregular_04.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\irregular\irregular_04_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\irregular\irregular_04.png,0.5,183.92879999737488,0.13065859936323604,0.1311221440160045,0.854520037278658,0.7459930030103327,0.8530095822867242,0.8560358509943048,0.9778295400331154,0.9619161472120229,9169,69686,1580,1542
irregular/irregular_05.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\irregular\irregular_05.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\irregular\irregular_05_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\irregular\irregular_05.png,0.5,198.72530000066035,0.15006825287322578,0.14834358349601492,0.8649565923120435,0.7620471485526088,0.8699846633354772,0.8599863067292645,0.9773076590967965,0.9597014487222768,17585,113182,2628,2863
irregular/irregular_06.jpeg,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\irregular\irregular_06.jpeg,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\irregular\irregular_06_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\irregular\irregular_06.png,0.5,192.26549999802955,0.22122000666447908,0.21731098443513452,0.841433474913609,0.7262711779549005,0.8490013900065843,0.8339992870941035,0.9578653061624439,0.9304636645986432,290125,1173044,51600,57747
irregular/irregular_07.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\irregular\irregular_07.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\irregular\irregular_07_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\irregular\irregular_07.png,0.5,198.9901999986614,0.5945730440499671,0.5839558185404339,0.8324319692521639,0.7129622834217076,0.839999423551177,0.8249996461529752,0.7695435238927996,0.8025162393162393,466303,296589,88820,98913
lines/lines_01.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\images\lines\lines_01.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\segmentation_dataset\ground_truth_masks\lines\lines_01_mask.png,<ORIGINAL_RUN_ROOT>\AFM_Web-main\evaluation_outputs\experiment_2_segmentation\predicted_masks\lines\lines_01.png,0.5,196.02349999695434,0.21517273576097107,0.2119466177275508,0.8869507534355,0.7968656878149212,0.8937010565332645,0.8803016586738092,0.9712934265126077,0.9517144788950063,117662,473524,13995,15999
