Class,Support,Predicted count,Precision,Precision 95% CI,Recall,Recall 95% CI,Specificity,F1,F1 95% CI
Dots,13,13,1.0,1.0000–1.0000,1.0,1.0000–1.0000,1.0,1.0,1.0000–1.0000
Irregular,7,7,0.8571,0.6250–1.0000,0.8571,0.5714–1.0000,0.9767,0.8571,0.6154–1.0000
Lines,20,21,0.8571,0.7308–1.0000,0.9,0.7500–1.0000,0.9,0.878,0.7692–0.9744
Mixed,10,9,0.8889,0.7000–1.0000,0.8,0.5000–1.0000,0.975,0.8421,0.6250–1.0000
