Group 0: 2 elements, 150.41 total area
Group 1: 2 elements, 183.36 total area
Group 2: 2 elements, 130.86 total area
Group 3: 1 elements, 79.39 total area
Group 4: 2 elements, 195.16 total area
Group 5: 1 elements, 70.01 total area
Group 6: 1 elements, 87.66 total area
Group 7: 1 elements, 82.86 total area
Group 8: 1 elements, 92.72 total area
Group 9: 1 elements, 78.79 total area
Group 10: 1 elements, 69.83 total area
Group 11: 1 elements, 78.97 total area
Average area: 108.34 total area
