relative_path,true_label,manifest_predicted_label,runtime_predicted_label,routing,expected_batch_repeats,successful_batch_repeats,prediction_matches_manifest_all_runs,confidence_median,cnn_median_ms,cnn_mean_ms,cnn_sd_ms,cnn_minimum_ms,cnn_maximum_ms,unet_preprocess_median_ms,unet_preprocess_mean_ms,unet_preprocess_sd_ms,unet_preprocess_minimum_ms,unet_preprocess_maximum_ms,unet_inference_median_ms,unet_inference_mean_ms,unet_inference_sd_ms,unet_inference_minimum_ms,unet_inference_maximum_ms,unet_save_median_ms,unet_save_mean_ms,unet_save_sd_ms,unet_save_minimum_ms,unet_save_maximum_ms,unet_total_median_ms,unet_total_mean_ms,unet_total_sd_ms,unet_total_minimum_ms,unet_total_maximum_ms,voronoi_median_ms,voronoi_mean_ms,voronoi_sd_ms,voronoi_minimum_ms,voronoi_maximum_ms,colorwheel_median_ms,colorwheel_mean_ms,colorwheel_sd_ms,colorwheel_minimum_ms,colorwheel_maximum_ms,full_pipeline_median_ms,full_pipeline_mean_ms,full_pipeline_sd_ms,full_pipeline_minimum_ms,full_pipeline_maximum_ms,status
dots/dot_01.png,dots,dots,dots,voronoi,3,3,True,0.9996912479400635,102.49619999376591,101.8398666686456,4.93712857843733,96.60740000254009,106.4160000096308,29.38769999309443,29.59450000101545,4.144271569907086,25.557500004651956,33.83830000529997,249.89809999533463,255.56326666264795,31.61297774706783,227.1658999961801,289.6257999964291,38.74869999708608,38.65166666704075,2.505059872414625,36.09949999372475,41.10680001031142,314.20429999707267,323.80943333070417,36.908487235619944,292.65309998299927,364.5709000120405,14864.987300010398,15349.486600006154,1033.6458222141189,14647.083400006522,16536.389100001543,,,,,,15452.391099999659,15999.132333337911,1114.6642471988623,15263.403400007519,17281.602500006557,completed
dots/dots_02.png,dots,dots,dots,voronoi,3,3,True,0.781582236289978,91.6467999923043,91.48490000128125,2.0182261909690533,89.39059999829624,93.41730001324322,34.8255999997491,35.13073333306238,1.0864272643558504,34.229500000947155,36.337099998490885,220.1962000108324,216.23403333554356,8.490415734069101,206.48680000158492,222.01909999421332,40.1144000061322,137.09386666596401,173.0751740523269,34.25199999765027,336.91519999410957,290.78530000697356,388.4586333345699,177.34161756876642,281.4268000074662,593.16379998927,21187.208899995312,21439.409099999466,578.8666957340744,21029.42810000968,22101.590299993404,,,,,,21614.164300000994,22089.71283333085,954.6808134928442,21466.205699995044,23188.768499996513,completed
dots/dots_03.png,dots,dots,dots,voronoi,3,3,True,0.9978141784667969,89.37329999753274,90.952266662498,2.978406151223031,89.09579999453854,94.38769999542274,34.885000000940636,34.18073333159555,3.130489406217013,30.758099994272925,36.89909999957308,202.96469998720568,204.43666666202867,4.210270117440572,201.15999999688938,209.18530000199098,38.557799998670816,38.640466664219275,0.22888445045683725,38.46440000052098,38.89919999346603,276.40749998681713,277.2578666578435,6.9051332926126605,270.81729998462833,284.54880000208504,17771.49330000975,18082.471900008386,673.8894025230378,17620.2265000029,18855.695900012506,,,,,,18199.02960000036,18502.915033333313,685.6744977569524,18021.69920000597,19288.016299993615,completed
dots/dots_04.png,dots,dots,dots,voronoi,3,3,True,0.9998832941055298,76.714400012861,75.73440000608873,6.887788188748371,68.40910000028089,82.07970000512432,16.790699999546632,18.289833329617977,2.7791858219420766,16.582099997322075,21.496699991985224,209.95840000978205,212.77986667215978,8.815599450538782,205.7204000011552,222.66080000554211,34.41509998810943,35.40046666360771,2.8285457652209707,33.19640000700019,38.589899995713495,264.65150000876747,266.4701666653855,6.675561977053428,260.8923999941908,273.8665999931982,11294.014900006005,11724.1142999992,874.70597195082,11147.727699993993,12730.600299997604,,,,,,11682.936400000472,12114.607666662778,880.5095638836891,11533.23439999076,13127.652199997101,completed
dots/dots_05.png,dots,dots,dots,voronoi,3,3,True,0.699499249458313,81.0975999920629,79.97079999768175,4.911909472853474,74.59340000059456,84.2214000003878,29.27820000331849,28.718466666759923,1.4532295245159421,27.068600000347942,29.80859999661334,202.22880000073928,205.5857000038183,9.014115945621539,198.7317000020994,215.79660000861622,33.890300008351915,33.7150333361933,0.4225059744947319,33.233099995413795,34.02170000481419,265.92770000570454,268.01920000677154,10.193761561995705,259.0333999978611,279.0965000167489,16127.850999997463,16793.595300002682,1265.9388316050463,15999.440600004164,18253.494300006423,,,,,,16529.041300003882,17205.820200004382,1288.1274120556816,16397.148200005176,18691.271100004087,completed
dots/dots_06.png,dots,dots,dots,voronoi,3,3,True,0.9997362494468689,78.77880000160076,81.29376666814399,7.010565190725991,75.88760000362527,89.21489999920595,23.22170000115875,23.74983332992997,1.1132917915156424,22.998899992671795,25.028899995959364,204.9336000054609,205.24223333632108,1.0893495788979433,204.3405000003986,206.45260000310373,33.664900009171106,35.26823333716796,3.1416072158268147,33.251800006837584,38.88799999549519,263.3392000134336,264.260300003419,4.205987161631057,260.591199999908,268.85049999691546,13803.21039998671,13819.391133331615,127.77561083021378,13700.47660000273,13954.486400005408,,,,,,14202.642600008403,14227.172166671759,122.77000337454619,14118.518800009042,14360.355099997832,completed
dots/dots_07.png,dots,dots,dots,voronoi,3,3,True,0.7031892538070679,79.94009999674745,79.65530000122574,0.995827451789505,78.54810000571888,80.4777000012109,27.711999995517544,28.919400002147693,2.127667751524634,27.670100011164322,31.37609999976121,207.51749999180902,205.91379999920414,4.29585087385552,201.04680000804365,209.1770999977598,37.83159999875352,37.900199997238815,0.445776527122421,37.49269999389071,38.37629999907222,272.7221999812173,272.73339999859064,2.4845189340925717,270.2545000065584,275.22350000799634,14967.101200003526,14962.444633327928,58.41222266931092,14901.8434999889,15018.389199991361,,,,,,15368.120299986913,15368.533199997424,56.81227534183194,15311.92849999934,15425.550800006022,completed
dots/dots_08.png,dots,dots,dots,voronoi,3,3,True,0.9980535507202148,86.7866999906255,88.05913333101974,2.349676043838549,86.62010000261944,90.7705999998143,31.105900008697063,31.354766664056417,2.0649781249978694,29.425499989883974,33.53289999358822,202.97739999659825,203.77713333194455,2.2095527422850036,202.07879999361467,206.27520000562072,37.78280000551604,37.75076667079702,0.11048938086988801,37.6278000039747,37.841700002900325,273.3944999927189,272.882666666798,2.6336202625123906,270.0306999904569,275.2228000172181,14800.295599998208,14824.737899999795,66.44165290703276,14773.979499994311,14899.938600006863,,,,,,15259.912499997881,15247.455200000937,60.17325856235729,15182.02829999791,15300.424800007022,completed
dots/dots_09.png,dots,dots,dots,voronoi,3,3,True,0.9993627667427063,77.65789999393746,77.63953333293709,0.38827593690603857,77.24240000243299,78.01830000244081,26.563900013570674,26.31616667107058,2.6722263821314867,23.528699995949864,28.855900003691204,208.04200001293793,210.39936667269407,4.483430925363503,207.58640000713058,215.56969999801368,35.37729999516159,35.49529999630371,0.4845974569736358,35.08059999148827,36.02800000226125,272.27520001179073,272.21083334006835,2.001126519934946,270.1783000229625,274.1789999854518,17917.573300001095,17966.88346666633,96.74441921423221,17904.729200003203,18078.347899994696,,,,,,18329.513699995005,18366.948266668867,92.50305533447565,18299.029500005418,18472.301600006176,completed
dots/dots_10.png,dots,dots,dots,voronoi,3,3,True,0.9971987009048462,76.31319999927655,79.32620000307604,6.314449843872257,75.08260000031441,86.58280000963714,21.314300000085495,21.570866670420703,1.76052760198334,19.95270000770688,23.445600003469735,204.99999998719431,205.49636666449564,3.493597083123536,202.27750000776723,209.21159999852534,34.73210000083782,34.77906666133398,0.09563107426910951,34.715999994659796,34.88909998850431,259.668699989561,261.8462999962503,4.836977776535132,258.48089999635704,267.3893000028329,14234.78040000191,14175.646833333303,113.48379458695237,14044.808199992985,14247.351900005015,,,,,,14628.9403999981,14574.129666667432,125.47272262040302,14430.576800004928,14662.871799999266,completed
dots/dots_11.png,dots,dots,dots,voronoi,3,3,True,0.9937454462051392,79.19129999936558,76.99629999600195,3.9040515806309566,72.48879999679048,79.30879999184981,20.449299991014414,20.54453332675621,1.7364097579418503,18.85769999353215,22.326599995722063,205.26380000228528,206.23766666782709,1.728522389708015,205.21580000058748,208.23340000060853,35.185300002922304,35.161066669388674,0.20711601157918702,34.942900005262345,35.35499999998137,262.5333000032697,261.943266663972,2.443476170462725,259.25879999704193,264.0376999916043,11096.421199996257,11141.870433323978,162.08316839488177,11007.363599987002,11321.826499988674,,,,,,11522.107600001618,11546.658899998874,174.186097638319,11386.05099999404,11731.818100000964,completed
dots/dots_13.png,dots,dots,dots,voronoi,3,3,True,0.6638205647468567,72.10299999860581,71.88433333067223,7.4076209713022365,64.3697999912547,79.1802000021562,15.66340000135824,15.313733330306908,2.9318803728581675,12.222699995618314,18.055099993944168,202.48520000313874,204.09573333260292,6.001619321925792,199.06369999807794,210.7382999965921,31.364599999506027,31.662199995480478,0.5510814155174114,31.323899995186366,32.29809999174904,249.513200004003,251.0716666583903,8.375857132074337,243.5844999854453,260.11729998572264,8615.090499995858,8598.208033334231,61.692815200567836,8529.831499996362,8649.702100010472,,,,,,8987.303200003225,8991.117966671785,50.61917334074769,8942.514100010158,9043.536600001971,completed
dots/dots_14.png,dots,dots,dots,voronoi,3,3,True,0.6761580109596252,67.72399999317713,68.81789999897592,4.964869310332017,64.49119999888353,74.23850000486709,14.311800012364984,15.125966669681171,1.8723819705378337,13.798499989206903,17.26760000747163,210.2417999994941,211.13470000273082,1.828869000608928,209.92380000825506,213.2385000004433,32.67660000710748,32.52060000280229,0.35908396215679234,32.109899999340996,32.775300001958385,259.3013000150677,258.7812666752143,1.7641054328810557,256.8155999906594,260.2269000199158,8957.520199997816,8935.169800000343,68.65435141044823,8858.12530000112,8989.863900002092,,,,,,9375.994200003333,9331.56326667328,87.60363462066707,9230.647000003955,9388.048600012553,completed
irregular/irregular_01.png,irregular,irregular,irregular,none,3,3,True,0.6082426905632019,70.0180999992881,69.5638999992904,3.907647892600915,65.44900000153575,73.22459999704733,14.850199993816204,14.293799996570064,1.8172480707719665,12.263399999937974,15.767799995956011,203.22580001084134,201.85796667162018,2.5856602119358483,198.8757000071928,203.47239999682643,33.50540000246838,36.91639999548594,6.475093414166645,32.85989999130834,44.38389999268111,251.827999993111,253.06816666367618,9.748593519100902,243.9989999984391,263.37749999947846,,,,,,,,,,,388.8619000063045,389.9158666705868,24.756082578105488,365.7036000076914,415.18209999776445,completed
irregular/irregular_02.png,irregular,irregular,irregular,none,3,3,True,0.8662452101707458,59.22609999834094,59.2871333307509,0.3778650828599305,58.94350000016857,59.69179999374319,7.066399994073436,7.134999997409371,0.6170665347874481,6.555100000696257,7.783499997458421,207.38999999593943,202.27246666521145,10.066774975040087,190.67499999073334,208.75240000896156,39.14740000618622,39.25653333620479,0.25487144171673004,39.07440000330098,39.547799999127164,254.3819000129588,248.6639999988256,10.199034243734953,236.888799990993,254.72129999252502,,,,,,,,,,,359.3576999992365,355.7428333297139,8.886110209737826,345.618999999715,362.2517999901902,completed
irregular/irregular_03.png,irregular,irregular,irregular,none,3,3,True,0.9443580508232117,60.80840001231991,60.793400004816554,4.150320325498199,56.63560000539292,64.93619999673683,9.610799999791197,9.333266663209846,1.3563652070457095,7.859599994844757,10.529399994993582,204.83660000900272,203.16243333703218,9.93669496170698,192.49499999568798,212.15570000640582,30.927300002076663,30.999933335503254,0.35634571528687164,30.685499994433485,31.38700000999961,246.29330000607297,243.49563333574528,10.634865826126502,231.74160000053234,252.4520000006305,,,,,,,,,,,363.0191999982344,358.7976333268064,19.178051863427953,337.8604999888921,375.5131999932928,completed
