measurement,unit,n,mean,standard_deviation,median,q1,q3,minimum,maximum,throughput_per_second_from_median,notes
Warm CNN,ms,50,88.99353599990718,14.455489524196903,89.86575000017183,79.30082500024582,97.80980000505224,57.562500005587935,119.83680000412278,11.127709945091294,All completed images.
Warm U-Net total,ms,50,294.0292300010333,27.976537482476996,301.8924000134575,272.38695000414737,312.25744999028393,242.41230000916403,350.11600000143517,3.3124384713077335,All completed images.
Voronoi analysis,ms,22,13467.552600001165,5294.441451133119,14018.99539999431,9829.032800003915,15837.663549998979,2623.4623000054853,27011.31620000524,0.07133178744037579,Only routes where Voronoi was applicable.
Fixed full-resolution ColorWheel,ms,30,4417.373590000595,2405.831165786248,3921.52955000347,3009.5073000011325,4838.258475003386,1266.7613999947207,10296.573200001149,0.2550025410363452,Only routes where ColorWheel was applicable.
Direct complete pipeline,ms,50,9027.439518000174,7706.626789821023,7819.9057999954675,3547.556524994434,14522.365950000676,353.7840000062715,37705.7005000097,0.1278787782840785,"Image read/classification, segmentation/mask save, and route-specific analysis/output generation."
