batch_repeat,images_expected,images_completed,images_failed,batch_total_seconds,batch_total_minutes,images_per_second,images_per_minute,average_seconds_per_completed_image,sum_recorded_per_image_seconds,batch_overhead_seconds,status
1,50,50,0,459.459992300006,7.657666538333433,0.10882340320798231,6.529404192478939,9.18919984600012,459.2808511000185,0.1791411999874981,completed
2,50,50,0,450.6369016999961,7.510615028333268,0.11095407369298543,6.657244421579126,9.012738033999922,450.4504130000132,0.1864886999828741,completed
3,50,50,0,450.2529436000041,7.504215726666734,0.11104869098739091,6.662921459243455,9.005058872000081,450.06176150008105,0.19118209992302582,completed
