routing,n_images,mean_full_pipeline_ms,standard_deviation_ms,median_full_pipeline_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
voronoi,13,14704.007476923065,3632.3481549609496,15259.912499997881,11682.936400000472,16529.041300003882,8987.303200003225,21614.164300000994
colorwheel,21,4949.633366665304,2322.631641418827,4330.592700003763,3526.3930999935837,5438.615899998695,2052.8756999992765,10167.100299993763
voronoi+colorwheel,9,17051.72974444738,9845.937575179412,16697.35590000346,11348.527699999977,19438.71930000023,4381.072500007576,37705.7005000097
none,7,401.71575714443213,64.67001809393504,369.13340000319295,361.18844999873545,419.318550004391,353.7840000062715,528.0788999953074
